"","Patient1","Patient2","Patient3","Patient4","Patient5","Patient6","Patient7","Patient8","Patient9","Patient10","Patient11","Patient12","Patient13","Patient14","Patient15","Patient16","Patient17","Patient18","Patient19","Patient20","Patient21","Patient22","Patient23","Patient24","Patient25","Patient26","Patient27","Patient28","Patient29","Patient30","Patient31","Patient32","Patient33","Patient34","Patient35","Patient36","Patient37","Patient38","Patient39","Patient40","Patient41","Patient42","Patient43","Patient44","Patient45","Patient46","Patient47","Patient48","Patient49","Patient50","Patient51","Patient52","Patient53","Patient54","Patient55","Patient56","Patient57","Patient58","Patient59","Patient60","Patient61","Patient62","Patient63","Patient64","Patient65","Patient66","Patient67","Patient68","Patient69","Patient70","Patient71","Patient72","Patient73","Patient74","Patient75","Patient76","Patient77","Patient78","Patient79","Patient80","Patient81","Patient82","Patient83","Patient84","Patient85","Patient86","Patient87","Patient88","Patient89","Patient90","Patient91","Patient92","Patient93","Patient94","Patient95","Patient96","Patient97","Patient98","Patient99","Patient100"
"Gene1",-0.191419024257701,-1.23415246733933,-0.0434617837539433,0.145721082093892,-0.401720520454604,-0.477809327492391,0.724899576724359,-0.840054022451205,-0.268760913150221,0.85541392115879,-0.383002284555529,2.10564135362865,-2.07965473091045,0.392673775867503,-0.327586091523435,0.0647528288804708,-0.946886815295448,2.20426246711003,0.13058185075528,-0.959081957217947,0.0132448396567918,0.131160336674549,-0.393382665198125,-0.868428204249744,0.80490456503432,1.13419597624577,2.2361831946252,1.98108224359608,-1.56054650447787,-0.371964437723734,-0.384009894733944,-1.12730783941746,0.187125151211325,0.147520200005054,0.0323785460060605,-0.429004248131372,0.335291624254226,0.18186607892721,0.428002971538723,0.944681363320795,0.264492347232722,1.33575683433919,-0.920147148397877,-0.159885663754143,0.410943284023097,1.15669990377367,-1.13824330395354,0.388826124065996,-0.941723464528407,-0.363400852934168,0.650021738139575,1.21718679953152,0.338212712858093,0.0519258745469401,0.325742363929635,-0.0643495864220438,0.619603862426812,-0.232690828906654,-0.408501546967933,0.188570058867528,1.5278984292686,-0.209091794960559,0.210887355220841,0.319851895828113,-0.416787844662041,-0.350364063936436,-0.548926374236633,0.572624271079014,-0.531392710563776,0.270788211306344,0.145716135765378,-0.665898708903218,0.100059651656907,1.29406714935808,0.114174626339054,-1.72620468838389,-1.34953165276452,-1.12080605702155,-1.32842994162972,-1.5781646537751,-1.1013507320364,-0.269310140512872,-0.735075830406098,0.217953956355997,-0.894370198449774,0.801700498041151,1.90674051454184,0.924902442938536,-0.438349026025653,-0.264941049581351,1.0082713083424,-1.13874378963142,-0.301335682521058,-1.58096982290865,-1.41746913427734,1.81974382464599,0.171880292158467,1.82303241391585,0.434224258026214,-0.698628266419201
"Gene2",-0.897863174845741,0.395495494496961,0.566915336720884,-0.596026789077847,-0.540344601091602,0.309947086575354,-2.56387048340873,-0.800242027394549,-0.939745099013288,-1.49786538239032,1.05754873811687,-0.141212788927311,0.182453696974885,0.727075162829972,0.759801400969002,-0.791053180161428,1.10752921118725,-1.24176616317532,1.43341071623666,0.688835610854273,0.191556363731494,0.041121434415503,-0.0538974131186285,-2.28008429708524,-0.798483499749041,0.523520754880406,-0.694186882984365,0.444016743626358,-1.22571435201198,-0.336546852115744,-0.850387338992178,1.49779846879968,0.256656748339857,-3.17522492144156,-0.949835916127595,-0.72350859988057,-0.278574603708242,1.95437198543668,-0.0549597702700754,-0.411487062099227,0.740165766500331,0.00871520320368582,0.743403282048107,0.875228882373184,-0.0820079481046348,0.322325580513151,1.75905971748169,0.482907755973105,0.595154410390847,0.121759189853184,0.903659719767375,0.989590156934046,0.802913546024533,0.104210141536746,0.300957345732483,-0.187537657085325,0.551607061590115,-0.0519807353386668,-0.0147263655609605,0.376998215138824,1.8271804702548,-0.309783278117884,-0.451597237250689,0.68477418773025,-0.864261905124182,-0.508037332119932,-1.02066196033833,0.163252572773884,-0.454477331342242,0.0990043227103229,0.159447503455413,-0.577914070270589,-0.380757432807499,0.88039950069026,0.464951128090011,-1.83957840125907,-0.726963087871162,-1.17466078865058,-1.25725642513668,-1.99020829908566,-0.788574631563051,-0.245811041296242,-0.513298465330385,0.147049679483435,-0.659612657837287,0.512893017189623,2.05422554967818,0.391425864426791,-0.310730651458751,-0.454605998590023,1.29465898200055,-1.35062485537532,-0.706579965997245,-0.957552948958669,-0.902318767689949,2.13310453608877,-0.528964302524897,1.11629106059841,0.541988159955815,-1.03954827412353
"Gene3",1.06391770271806,2.79564490481941,-0.49031509261129,-0.644605845539458,0.841913791285696,-0.0306092847790794,1.21073382214371,0.211772923160165,-1.80738610986632,-0.164414385356275,-0.932776882291367,-0.700877231049077,0.758088456897426,-0.408530167736037,-0.593881750306758,-2.2102409297687,0.320200935555028,-0.322585128826793,-0.580733875559377,-0.593043105150525,0.914928884327875,0.483648126621481,0.457016131218692,-0.534660526194097,-0.906494381294744,-0.0517423438538434,-0.95361998654315,-0.527979193037026,2.14108346307479,0.114588523244359,0.524139193538513,-0.954087304916143,-1.44252355994152,-0.680058519985436,-0.146916884794008,-0.506350949274009,0.395803227380207,-0.652675538704113,-1.05907167674128,-1.46372602248922,-0.61868481227831,0.0475628288759257,-0.536926493045377,0.037130174988546,-1.7824248015815,0.0532178498419564,0.280544278594881,-0.252791988899211,1.65511334829773,1.68426375961492,0.723797162163185,0.728516467245077,1.07436864763947,0.616183438052162,0.336260014514682,0.259311239687709,0.583673032673367,-0.180532828706807,-0.324840820457117,0.0195679374694615,1.88649144035181,-0.235083314137089,-0.761962664529842,0.643659066016461,-0.583001489229724,-0.309556002012913,-0.244751972105256,0.31913934261469,-0.523527175014592,-0.342979124279978,0.0847414492637123,-0.136337959663904,-0.697297152630809,1.04421509417133,0.466197190518697,-1.86523370441161,-0.58109976095581,-1.08319326685941,-1.11759749288198,-1.41895964577708,-0.65789071742643,-0.273966397606055,-0.178621683410627,-0.304839476972769,-0.461230403800418,0.166397216918035,1.68848519839883,0.404937206456071,-0.0908925535496484,0.0216659225709881,0.995562787699378,-1.31433167737302,-0.299504175460592,-0.497648402492309,-0.76291498858611,1.80456050447353,-0.483719734566257,1.3911859321668,0.675050704366135,-1.49370795713678
"Gene4",0.352477210675985,0.074752436238796,0.158242745109092,0.0659085266059069,1.03019320456355,-0.757002508018036,-0.0696032775377063,-0.613534426668481,-0.972092937621838,-1.98565843563061,0.333540842802805,-0.321090465291502,-1.72486725675662,-0.858087784086666,-0.828755840170503,0.104340435097101,-0.461339631751115,-1.5759535256791,-2.34851782315374,-0.182132533328597,1.15552779485729,-0.71283715810987,0.512637845878424,0.91432865123529,1.85000868228572,1.0840447841164,-0.233971990881234,1.04833856146462,0.204200431866262,1.10527895513888,-0.524487223732377,-1.40098113719007,1.33715639341162,0.563156987131691,1.29972909934387,-0.457957989279501,-1.19048778327915,-1.74744340547319,1.40744720027462,0.654912932881754,0.153114970881883,-0.682953375308648,0.201001995005731,0.615018559351245,0.177773560578707,-2.18242865248504,1.30598549569366,-0.220099760427266,0.882735057151381,0.550306877525555,0.877735645422094,0.791009360285635,1.37611899018155,0.697767841256609,0.644332734898085,-0.310338431775522,0.491683873205679,-0.304009505315115,-0.0476521920121937,0.161276799931341,1.76287267957124,-0.821881421184907,0.00676214485906733,0.544829854413891,-0.576144385161873,-0.39655346941116,-0.104427436538763,-0.272575319188644,-1.00686219431814,-0.37290580017405,-0.448339846210732,0.05406804656458,-0.904970316026573,0.888260872471239,0.453071078611516,-1.54289234767935,-0.63700690902735,-1.01194273194268,-1.25800325188846,-1.43754350692187,-0.630513247039893,-0.858556691053536,0.124547941769091,-0.20382935188997,-0.14817040738391,0.060731619052577,2.1192369183768,-0.0447527148199731,-0.215067052462056,-0.710660207379115,0.958846697642307,-1.11129963097752,-0.428889741974894,-1.10363849000125,-0.41487746151765,1.32497685828687,-0.0863334658474247,1.2223531377076,0.821039212320512,-1.3347219121876
"Gene5",-0.501674808795442,0.216168811183673,-0.867029104020738,2.05925068656455,-0.285230637814893,0.386571708847182,-0.616161069230606,0.394838906236898,0.0142876535565575,0.138166217966967,-1.24444668824957,1.05425464684214,-0.878768704751653,0.419894761082706,0.671467542845198,-1.50933761615663,0.541644819035858,-0.53474521864112,-1.03110896086506,-0.401390625319837,0.630630435693644,-0.171801242811895,-0.397316503434015,-0.028965186936978,-0.108926693079026,-0.682825865694124,-1.30683350252901,1.4136593755943,0.563004198411757,0.484063071222136,0.487886569453483,1.75553185337784,-0.861951455093561,-0.164497838001902,-0.425392259610312,-0.491727300780372,-0.737011704261781,1.30524004855942,-1.14329890699824,0.324686163161086,-1.33064892219489,1.87387547249883,-0.0708853012083385,0.0108858243435695,-0.458008005120946,0.237811977110079,0.446786302900142,1.03487184641775,-1.08503888482772,-1.67326963246448,0.460021409434768,0.261368622688713,1.22129416079994,0.942689847356381,0.113455284237352,-0.377063765309148,0.393507215381368,-0.349498896199738,-0.0702977071413298,0.313864202257012,1.58093038704081,-0.771195710253291,0.239483866516531,0.634069643529803,-0.584917824996562,-0.270458070186498,-0.709173707461412,0.200911292973447,-1.2193432258654,-0.31872200906402,-0.345163078067204,-0.176061012899367,-0.512538325184742,0.769119280294911,0.396011057152311,-1.09950411159965,0.0217475197340727,-0.835713829269736,-0.866983307891184,-1.24781378366174,-1.01872908452027,-1.12440059043907,0.447338587878503,-0.340420635978046,-0.116152427944175,-0.446845254663473,2.02772262906967,-0.337876114208492,0.154528266657299,-0.675583256004555,1.19972522788889,-0.753571484748799,-0.349927107560734,-1.67492907395865,-0.746520441679869,0.930589958337103,-0.195083801167347,1.39115832112139,0.602829033013815,-1.05379152043692
"Gene6",0.891212249442635,0.190062779492197,0.452903198480522,0.225246246403218,-1.34514774757381,0.196766477620596,0.874905752379913,1.80907476602053,0.565358201311419,-1.37803652710522,0.0206425199615641,0.743268535744136,-0.393480600836734,-0.233046599349967,1.96997213624723,0.670230264452475,0.0777671977479806,-0.391546279542752,-0.751826110582041,1.19747417697935,-2.38884048565535,-1.00750636210732,-0.762152381825814,-0.469936253433685,0.278818959261275,-1.14006747691196,0.449997334250348,-0.0299036864494272,0.166113523839889,0.260777560107333,0.156259798454811,-0.994616948756892,1.16284686353206,-1.25733684047553,-0.0783717869648766,0.0822350102122241,-0.0852112315392295,-0.309027963414931,0.101581184690415,0.714374368835302,-0.598540087779943,-1.28003190848813,1.56745140913064,0.592210401093878,1.22617485559561,0.200142074920207,-0.217550060840219,1.91005524233978,-0.172565652946578,-0.200703133911127,0.496739418281881,0.00896630395059335,1.43414200633148,1.15412737306803,0.628209533707663,0.0427088414416845,0.442463430393645,-0.382636798814798,-0.618402972518615,-0.190835007881996,1.74911528414643,-0.721664927893676,0.0489576415209977,0.714947222019417,-0.786265713678957,-0.0779615012932419,-0.621768203996567,0.15479796516021,-1.43468897258948,-0.496634211617572,-0.556412514851869,0.182174326347263,-0.538062653973687,0.677125015237211,0.704082198690369,-1.20641866221561,0.146277386480154,-0.423116918431203,-1.11082484886566,-1.1132134841694,-1.23329199010559,-1.01262202934886,0.703744706518661,-0.0202892796111904,-0.437105840376752,-0.754817555095486,1.99792633662814,-0.384332538008476,0.48732130883833,-0.803113258971228,1.45148645756976,-1.10202504942225,-0.413326428046277,-1.74037121751918,-0.917471608526919,0.326884902493314,-0.11497633966525,1.03776476583388,0.343755976495297,-1.18957462924679
"Gene7",0.867669781642033,-0.579884575187244,-0.497903587807711,-0.314141741828151,-2.11694415529911,0.333813543681704,0.112752703679606,-0.254093752147279,1.34025658534838,0.664674987652963,1.14552317809817,-0.474537932794323,1.19632711897912,0.921804265908789,-1.45440471333945,-0.814890747802676,-0.438903557381598,1.88905583256432,-0.827200705738027,0.215300171715852,0.725532057157803,-0.381648052248842,-0.144084483945629,-1.75283393974365,0.124921296157962,-0.415285376724532,0.525863393211209,0.609063663420928,-1.01170151260302,0.161368286707166,0.281193496145199,0.25365362276231,1.62823777388329,-0.504804426441138,0.316104556314513,0.125946797326438,-0.902843705384052,0.0562822465578725,1.79338727614287,0.356666804685114,0.0865894211647866,0.644265284510238,1.44382851048892,-0.119031228017846,-0.764961449296083,0.460507442905636,-0.671587193064635,0.697630857119682,-0.589177076391224,-0.227647980415454,-0.447497014380828,0.577719620964333,1.79314335480065,0.85809960197728,0.355001541962626,0.0205481555000728,0.377328726475894,-0.612723752481365,-0.230740644528766,-0.379516523383148,1.51265204650374,-1.10829315425431,-0.432787689386727,0.868642316977961,-0.407093677225177,-0.000184745892087854,-0.540760981171377,0.072758067648181,-1.53113862338634,-0.725453958733653,0.012637294175901,0.172815250897008,-0.487442157140266,0.642068634115966,0.514809606600986,-0.656595013529717,0.898744410472274,-0.252561801745895,-0.807528329516791,-0.780891273360958,-1.08161329095151,-0.883157845615632,0.534241253170537,0.171004912839197,-0.57377542167929,-0.62074121531255,0.847930644246122,-1.05499868804271,0.724380830010659,-1.0482276676301,0.76066889058752,-1.3575779906306,-0.310733140264865,-1.56434767747503,-0.658719408070184,0.886145782164095,0.22002285107512,0.766010899304835,0.720700038737713,-0.865990376666598
"Gene8",-0.208439987015037,-0.552619756594004,0.763346909581513,0.645815325305631,-0.64047472857312,-0.747241868991731,0.803702961890623,-0.844579033588976,-1.00645524729029,0.944430773314391,0.731361811299006,2.01139073485178,-0.0288186452333164,-1.22586851639246,0.412124074814684,1.18290748852917,0.777735639532503,2.99539359112836,-0.464664532611149,0.796460910126906,1.26133205704785,0.02157529147584,0.0514712561011482,-0.591268502764849,-1.30075675246886,0.129451395090699,1.24961024673042,-0.369489814131145,-1.13605412992558,0.588606581987547,0.227127981502442,-1.37546393458659,-1.42560707120515,0.226172308887791,-0.833542839793923,-1.05150337400212,-1.64250528952285,-0.531784858120272,1.42661697669438,0.20455785819329,-0.885224373963933,0.158580051210857,-1.51973779017249,-0.126960578589608,1.65936456393462,0.204852983886743,0.14865912484165,0.136276765199712,0.939167351932743,-0.639349179732012,-0.277271200806095,0.830822704734085,1.71862379401692,1.46724667441576,0.103942523202946,-0.278691825562121,0.316877648986805,-0.490140386041839,-0.155543669248138,-0.139661301393599,1.05082263288001,-1.2429940723394,-0.512824248444737,1.28034421480974,0.0401336210712085,-0.140099213305914,-0.329213545148359,0.139271161796496,-1.16198098046797,-0.869616475902898,0.145529083756558,-0.250082331207704,-0.658799072467018,0.627425735904235,0.685961545130644,-0.140584912258175,-0.122136097755495,-0.12317615436324,-1.0043055050109,-1.05324513806723,-0.758669790142315,-0.64637017273464,0.718187899521364,0.368389903727843,-0.526790639240961,-0.602390642149266,0.751718957219081,-1.08166747747716,0.156042540808381,-1.46835229703961,0.6860978689932,-1.08865843193814,0.135928177245209,-1.43263164241092,-0.163513215258297,0.871255231364151,0.0912071744296617,0.979457519813651,1.35789335227734,-0.515451334576394
"Gene9",-0.471641515048771,1.46333567513541,1.38656899924377,-0.0618355241363058,-1.76017650965819,0.91625976549188,1.42613676430253,0.284977497893538,-0.50541896534395,1.11857630104679,-0.0502567874568896,-0.43975413570236,-0.0237290267271944,0.343987056591427,0.907475415619737,0.95483732253624,0.147338155386263,2.45263800062982,-1.11100699936411,1.08887115240875,-0.0589886070542398,-0.920933553757254,2.56723293887957,-0.546242632835471,0.932796964610452,-0.32412624700038,-1.23883819043012,1.76531178827079,1.54232334720859,1.5186224908069,0.763141359759413,0.566154316765707,0.274452350074154,-0.327463179536893,-0.163684732503586,-0.86046097737673,0.536227731968516,2.01190713796018,-0.138457190015884,-0.156431566077175,-0.881282162676054,-0.458340183202014,0.1192391202589,-0.273030146461588,0.663496004733391,-0.333244815308275,-1.80670377700935,-0.618454510500019,1.60028030663998,-0.130660124112731,-0.336928107606973,1.08219471375769,1.62218173823545,1.79362307230891,0.0413048178665141,-0.252496149386181,-0.0635046788231395,-0.758641322281607,-0.399518685668602,-0.131175314507338,0.703448237550921,-1.15547968356603,-0.397167121660846,1.25579131054986,-0.279242519390064,0.00462121290206436,-0.286568453592863,-0.00685403364179686,-1.05768558790508,-0.84431832040296,0.484902662417493,0.10565302287461,-0.108170323175004,0.495916192745649,0.796569235024794,0.0860520032247301,-0.217234182158642,-0.333038811727146,-0.516777496911184,-0.57769628419953,-0.718493690090483,-0.202513048608746,0.928340089799868,0.58997640525672,-0.581714334309775,-1.04541889061957,1.40118206603682,-0.851918692898302,0.538748894993732,-1.43467856237015,0.617591714300309,-1.25390281695223,0.177965038259213,-1.53890600448169,-0.0519357891552961,0.219960226002325,-0.0547802575965361,0.680752118928363,1.22098618756731,-0.753123554751915
"Gene10",-0.681879387651418,-1.61174310450266,1.37763485723778,1.38927015172796,1.93412558367531,0.532328013128248,-0.216115363676513,-0.165687636745602,0.763031886755356,-1.01033862130552,0.976214636453837,-0.0441678737230992,-1.31525092216605,0.0113089626156594,-2.49438128927003,0.112192965836761,-0.414903774942892,-0.300714461604593,0.443108882653641,-0.613068698907114,0.282792446132818,1.61547496666514,-1.53892953296365,2.48151714702908,-0.137583968306295,0.0124720252207202,-1.26250931580895,-0.01970572039024,-0.425331411897342,1.32204268246293,-1.14087094354226,-1.15959068761613,1.02253735992623,-0.844094446213408,-0.650178479787428,-0.410475286129739,-0.550264168324881,1.24502084839846,1.54521070648564,1.59151403814692,-0.0442196401101904,-1.2758703176219,0.107452691204462,0.761710593684298,-1.83748837286723,-0.633917397529702,0.474850561261231,-1.43218823653578,-0.422210528257447,-0.314128150247689,-0.269018851609927,0.795147440692227,1.48295650483731,1.73485578693405,0.420906067172913,-0.427590826780687,-0.217340259298497,-1.02233862634335,0.260592163485534,-0.0739742811801961,0.675244631713348,-0.988245670630372,-0.890921509365897,1.28496721381531,-0.608527937342789,-0.0945060729558413,0.0846534197163235,-0.0196896148309782,-0.66868824617862,-0.448701840146507,0.146968136738815,0.695206984444316,-0.141057989183795,0.386843626277655,0.593919163843189,0.188671876363193,-0.178923172505858,-0.515961682478363,-0.641152336595132,-0.276553711950794,-0.817666960101006,0.026503207415375,0.605681068461218,0.380213044660382,-0.628109745451317,-0.644447050894554,1.27015744234579,-0.607488909474085,0.835751485696263,-1.50599945101676,0.500339327545324,-1.22456690299288,-0.422819892607986,-1.1049431295763,-0.14692541767189,0.664528119559621,0.767605766930006,0.627532165252613,1.24166133747772,-0.685471086628624
